VI	Active	Name	Unit
VIQE	TRUE	"EUROPEAN LANGUAGES AND CULTURES IN CONTACT" "LENGUAS Y CULTURAS EUROPEAS EN CONTACTO" (L&C)	https://data.ec2u.eu/units/42e850885517dbc2551584aefc8f8795
VIQE	TRUE	ESCRITORAS Y PERSONAJES FEMENINOS EN LA LITERATURA (EPERFLIT)	https://data.ec2u.eu/units/880435fc8bee3e34095a941655c0a2f2
VIQE	TRUE	ESTUDIOS MEDIEVALES Y RENACENTISTAS	https://data.ec2u.eu/units/caad0a91e2e9e2e5b1946082fb4ac658
VIQE	TRUE	ESTUDIOS PORTUGUESES Y BRASILEÑOS	https://data.ec2u.eu/units/9e87b69c3f86924085f579a1a9146dde
VIQE	TRUE	ESTUDIOS DE DOCUMENTOS HISTÓRICOS Y TEXTOS ANTIGUOS DE LA UNIVERSIDAD DE SALAMANCA	https://data.ec2u.eu/units/c1ba4cbbe665c8beba5be5d789f0cbe6
VIQE	FALSE	ADQUISICIÓN, DESARROLLO Y DIDÁCTICA DE LENGUAS MATERNAS (ADLEMA)	https://data.ec2u.eu/units/dd13a710e4091a5cb65836054ce2f269
VIQE	FALSE	APRENDIZAJE, INSTRUCCIÓN Y ANÁLISIS DE LA PRÁCTICA EDUCATIVA	https://data.ec2u.eu/units/e5f787f278626413f2efc36a34ed6358
VIQE	FALSE	APROXIMACIÓN A UNA TEORÍA DE LA TRADUCCIÓN LITERARIA A TRAVÉS DE SU DIDÁCTICA (TRADLIT)	https://data.ec2u.eu/units/bab9d39ee4717bd2a4821c114c1f758f
VIQE	FALSE	ASPECTOS DE LA TERMINOLOGÍA, NEOLOGÍA Y NUEVAS TECNOLOGÍAS RELACIONADAS CON LA TRADUCCIÓN (ATENEO)	https://data.ec2u.eu/units/2f73714adafad2e854e7001142b263fa
VIQE	FALSE	DIALECTOLOGIA INGLESA Y DIACRONÍA INGLESA (DING)	https://data.ec2u.eu/units/ad8c4bd4b603ba2ff67005c19aebda81
VIQE	FALSE	E-LECTRA: EDICIÓN Y LECTO-ESCRITURA DIGITAL	https://data.ec2u.eu/units/1b8090abd69f775eca2c9cbadfb59b84
VIQE	FALSE	EDUCACIÓN COMPARADA Y POLÍTICAS EDUCATIVAS (ECPES)	https://data.ec2u.eu/units/cb12427385693064edec2460bd578f44
VIQE	FALSE	EDUCACION INCLUSIVA	https://data.ec2u.eu/units/2d6a98f4eb2f801b71365795f67765f7
VIQE	FALSE	ENSEÑANZA Y APRENDIZAJE DE LENGUAS EXTRANJERAS	https://data.ec2u.eu/units/5e6dd5ff4ef83f981d2ade02cfd56f3c
VIQE	FALSE	ESTRUCTURA Y VARIACIÓN DEL ESPAÑOL (ESVARES)	
VIQE	FALSE	ESTUDIOS ARÁBES E ISLÁMICOS - ESARIS	https://data.ec2u.eu/units/72ca53dd6e2dc1b0d9b165e7bc9a21a3
VIQE	FALSE	ESTUDIOS DE LITERATURA BRASILEÑA AVANZADOS (ELBA)	https://data.ec2u.eu/units/03043a494d513630c79c1f00e5702b0bb
VIQE	FALSE	ESTUDIOS DE LITERATURA Y PENSAMIENTO (ELYP)	https://data.ec2u.eu/units/0cc302516649306565d5cd1c49a214ae
VIQE	FALSE	GRAMÁTICA DESCRIPTIVA E HISTORIOGRAFÍA DE LA GRAMÁTICA ESPAÑOLA	https://data.ec2u.eu/units/ba25bcaee9d5fb404090a3bc50e3dc9e
VIQE	FALSE	GRUPO DE INVESTIGACIÓN EN INTERACCION Y ELEARNING (GRIAL)	https://data.ec2u.eu/units/46c4b8171cd0f73180385746758a9418
VIQE	FALSE	HUMANISMO EURASIA (HUME)	https://data.ec2u.eu/units/bcd5c9deb2827f0bf1f4be74e54d8bac
